11-Aug-14,-68.37,,,MISCELLANEOUS DEBIT,V0457 09/08 HFM ST IVES              ST IVES    74940524221,178.12
11-Aug-14,-9.02,,,MISCELLANEOUS DEBIT,V0457 08/08 HFM MANLY                MANLY      74940524220,246.49
11-Aug-14,-1000,,,TRANSFER DEBIT,INTERNET TRANSFER   save,255.51
08-Aug-14,-7,,,MISCELLANEOUS DEBIT,V0457 08/08 COLES  MANLY CORSO       NSW        74363964220,1255.51
08-Aug-14,-21.15,,,EFTPOS DEBIT,EFTPOS 08/08 18:18  PIZZA CAPANNA,1262.51
07-Aug-14,-4.02,,,MISCELLANEOUS DEBIT,V0457 07/08 MAJESTIC FRESH           CANBERRA   04174112608,1283.66
07-Aug-14,-24.58,,,MISCELLANEOUS DEBIT,V0457 07/08 ALDI                     CANBERRA   04174093047,1287.68
06-Aug-14,800,,,TRANSFER CREDIT,INTERNET TRANSFER   Rent                R and J,1312.26
05-Aug-14,-0.34,,,FEES,V0457 03/08 FOREIGN CURRENCY TRAN FEE           24692164215,512.26
04-Aug-14,-5.99,,,MISCELLANEOUS DEBIT,V9727 31/07 SUPABARN CITY            CANBERRA   74564454213,512.6
04-Aug-14,-11.24,,,MISCELLANEOUS DEBIT,V0457 03/08 Amazon Web Services      aws.amazon 24692164215,518.59
04-Aug-14,-30.86,,,MISCELLANEOUS DEBIT,V0457 02/08 ALDI                     CANBERRA   06110273914,529.83
